subjectID,age,gender,nationality,block_number,trial_number,trial_type,guess_outcome,delay_time,delay_pos,immediate_amount,stage,respRT,respKey,blur_count,focus_count,total_points,remaining_duration,time_elapsed
3,18,female,Belg,1,1,guess,neutral,15,right,12,guess_start,5344,space,0,0,0,474653,724288
3,18,female,Belg,1,1,guess,neutral,15,right,12,guess_choice,1677,f,0,0,0,472969,725972
3,18,female,Belg,1,1,guess,neutral,15,right,12,guess_outcome,0,undefined,0,0,0,471409,727532
3,18,female,Belg,1,1,ITC,neutral,15,right,12,ITC_start,3431,space,0,0,0,467974,730967
3,18,female,Belg,1,1,ITC,neutral,15,right,12,ITC_choice,6231,j,0,0,0,461739,737202
3,18,female,Belg,1,1,ITC,neutral,15,right,12,ITC_wait,0,undefined,0,0,0,446730,752211
3,18,female,Belg,1,1,ITC,neutral,15,right,12,ITC_collect,1165,k,0,0,0,445562,753379
3,18,female,Belg,1,1,ITC,neutral,15,right,12,ITC_outcome,0,undefined,0,0,20,444554,754387
3,18,female,Belg,1,2,guess,loss,5,right,9,guess_start,4350,space,0,0,20,440199,758742
3,18,female,Belg,1,2,guess,loss,5,right,9,guess_choice,1479,j,0,0,20,438714,760227
3,18,female,Belg,1,2,guess,loss,5,right,9,guess_outcome,0,undefined,0,0,5,437153,761788
3,18,female,Belg,1,2,ITC,loss,5,right,9,ITC_start,3546,space,0,0,5,433604,765337
3,18,female,Belg,1,2,ITC,loss,5,right,9,ITC_choice,1697,j,0,0,5,431904,767037
3,18,female,Belg,1,2,ITC,loss,5,right,9,ITC_wait,0,undefined,0,0,5,426898,772043
3,18,female,Belg,1,2,ITC,loss,5,right,9,ITC_collect,1144,k,0,0,5,425751,773190
3,18,female,Belg,1,2,ITC,loss,5,right,9,ITC_outcome,0,undefined,0,0,25,424742,774199
3,18,female,Belg,1,3,guess,loss,15,right,10,guess_start,1239,space,0,0,25,423500,775441
3,18,female,Belg,1,3,guess,loss,15,right,10,guess_choice,1163,j,0,0,25,422332,776609
3,18,female,Belg,1,3,guess,loss,15,right,10,guess_outcome,0,undefined,0,0,10,420773,778168
