subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed,attempt
10,MCQ,1,€54 today,€55 in 117 days,€54 today,now,6244,3778505,1
10,MCQ,2,€55 today,€75 in 61 days,€55 today,now,6516,3785027,1
10,MCQ,3,€19 today,€25 in 53 days,€25 in 53 days,wait,8933,3793965,1
10,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,28169,3822138,1
10,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,4554,3826696,1
10,MCQ,6,€47 today,€50 in 160 days,€47 today,now,4354,3831056,1
10,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,13451,3844514,1
10,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,3210,3847729,1
10,MCQ,9,€78 today,€80 in 14 days,€80 in 14 days,wait,8090,3855822,1
10,MCQ,10,€40 today,€55 in 62 days,€40 today,now,6017,3861845,1
10,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,4384,3866233,1
10,MCQ,12,€67 today,€75 in 119 days,€67 today,now,4938,3871176,1
10,MCQ,13,€34 today,€35 in 186 days,€34 today,now,3890,3875073,1
10,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,8252,3883330,1
10,MCQ,15,€69 today,€85 in 91 days,€85 in 91 days,wait,5529,3888863,1
10,MCQ,16,€49 today,€60 in 89 days,€60 in 89 days,wait,3737,3892605,1
10,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2876,3895486,1
10,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,3175,3898665,1
10,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2066,3900734,1
10,MCQ,20,€28 today,€30 in 179 days,€28 today,now,3197,3903935,1
10,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,1987,3905926,1
10,MCQ,22,€25 today,€30 in 80 days,€25 today,now,4007,3909937,1
10,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,2256,3912199,1
10,MCQ,24,€54 today,€60 in 111 days,€54 today,now,3011,3915214,1
10,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,2476,3917697,1
10,MCQ,26,€22 today,€25 in 136 days,€25 in 136 days,wait,2250,3919952,1
10,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,2796,3922753,1
11,MCQ,1,€54 today,€55 in 117 days,€54 today,now,10173,3496121,1
11,MCQ,2,€55 today,€75 in 61 days,€55 today,now,5663,3501786,1
11,MCQ,3,€19 today,€25 in 53 days,€19 today,now,4056,3505845,1
11,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,3588,3509436,1
11,MCQ,5,€14 today,€25 in 19 days,€14 today,now,3231,3512669,1
11,MCQ,6,€47 today,€50 in 160 days,€47 today,now,3516,3516188,1
11,MCQ,7,€15 today,€35 in 13 days,€15 today,now,3408,3519599,1
11,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,2766,3522367,1
11,MCQ,9,€78 today,€80 in 14 days,€78 today,now,3100,3525470,1
11,MCQ,10,€40 today,€55 in 62 days,€40 today,now,2823,3528295,1
11,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,5535,3533832,1
11,MCQ,12,€67 today,€75 in 119 days,€67 today,now,5662,3539496,1
11,MCQ,13,€34 today,€35 in 186 days,€34 today,now,3700,3543199,1
11,MCQ,14,€27 today,€50 in 21 days,€27 today,now,7275,3550477,1
11,MCQ,15,€69 today,€85 in 91 days,€69 today,now,3323,3553803,1
11,MCQ,16,€49 today,€60 in 89 days,€49 today,now,3334,3557139,1
11,MCQ,17,€80 today,€85 in 157 days,€80 today,now,3083,3560224,1
11,MCQ,18,€24 today,€35 in 29 days,€24 today,now,2694,3562920,1
11,MCQ,19,€33 today,€80 in 14 days,€33 today,now,3447,3566369,1
11,MCQ,20,€28 today,€30 in 179 days,€28 today,now,2626,3568997,1
11,MCQ,21,€34 today,€50 in 30 days,€34 today,now,3453,3572453,1
11,MCQ,22,€25 today,€30 in 80 days,€25 today,now,2603,3575058,1
11,MCQ,23,€41 today,€75 in 20 days,€41 today,now,2691,3577752,1
11,MCQ,24,€54 today,€60 in 111 days,€54 today,now,2361,3580116,1
11,MCQ,25,€54 today,€80 in 30 days,€54 today,now,2512,3582631,1
11,MCQ,26,€22 today,€25 in 136 days,€22 today,now,3269,3585902,1
11,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,4528,3590433,1
12,MCQ,1,€54 today,€55 in 117 days,€54 today,now,5339,4277080,1
12,MCQ,2,€55 today,€75 in 61 days,€55 today,now,3149,4280239,1
12,MCQ,3,€19 today,€25 in 53 days,€19 today,now,2351,4282599,1
12,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,2033,4284641,1
12,MCQ,5,€14 today,€25 in 19 days,€14 today,now,1911,4286559,1
12,MCQ,6,€47 today,€50 in 160 days,€47 today,now,1665,4288233,1
12,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,4164,4292406,1
12,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,2253,4294668,1
12,MCQ,9,€78 today,€80 in 14 days,€78 today,now,2457,4297133,1
12,MCQ,10,€40 today,€55 in 62 days,€40 today,now,1926,4299068,1
12,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,2433,4301510,1
12,MCQ,12,€67 today,€75 in 119 days,€67 today,now,2335,4303853,1
12,MCQ,13,€34 today,€35 in 186 days,€34 today,now,1959,4305821,1
12,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,3665,4309495,1
12,MCQ,15,€69 today,€85 in 91 days,€69 today,now,1747,4311251,1
12,MCQ,16,€49 today,€60 in 89 days,€49 today,now,2523,4313782,1
12,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2008,4315798,1
12,MCQ,18,€24 today,€35 in 29 days,€24 today,now,1747,4317553,1
12,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2196,4319758,1
12,MCQ,20,€28 today,€30 in 179 days,€28 today,now,2204,4321970,1
12,MCQ,21,€34 today,€50 in 30 days,€34 today,now,1992,4323971,1
12,MCQ,22,€25 today,€30 in 80 days,€25 today,now,1747,4325726,1
12,MCQ,23,€41 today,€75 in 20 days,€41 today,now,1486,4327220,1
12,MCQ,24,€54 today,€60 in 111 days,€54 today,now,2694,4329922,1
12,MCQ,25,€54 today,€80 in 30 days,€54 today,now,2586,4332517,1
12,MCQ,26,€22 today,€25 in 136 days,€22 today,now,2540,4335066,1
12,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,1998,4337074,1
13,MCQ,1,€54 today,€55 in 117 days,€54 today,now,6582,3109652,1
13,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,6038,3115693,1
13,MCQ,3,€19 today,€25 in 53 days,€19 today,now,9245,3124941,1
13,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,3873,3128819,1
13,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,5254,3134076,1
13,MCQ,6,€47 today,€50 in 160 days,€47 today,now,4000,3138076,1
13,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,2950,3141029,1
13,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,3701,3144734,1
13,MCQ,9,€78 today,€80 in 14 days,€78 today,now,3283,3148020,1
13,MCQ,10,€40 today,€55 in 62 days,€55 in 62 days,wait,2863,3150885,1
13,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,3052,3153942,1
13,MCQ,12,€67 today,€75 in 119 days,€75 in 119 days,wait,2764,3156709,1
