subjectID,task,outcome,question,resp,rt
10,SAM,win,valence,f,8054
10,SAM,win,arousal,g,18948
10,SAM,win,control,h,8865
10,SAM,loss,valence,g,3878
10,SAM,loss,arousal,g,3584
10,SAM,loss,control,g,2648
11,SAM,win,valence,d,18598
11,SAM,win,arousal,f,7774
11,SAM,win,control,h,5690
11,SAM,loss,valence,h,3514
11,SAM,loss,arousal,g,2488
11,SAM,loss,control,g,2242
12,SAM,win,valence,g,3052
12,SAM,win,arousal,g,9340
12,SAM,win,control,h,3723
12,SAM,loss,valence,d,2883
12,SAM,loss,arousal,f,4355
12,SAM,loss,control,f,3807
13,SAM,win,valence,f,11832
13,SAM,win,arousal,j,7053
13,SAM,win,control,d,13132
13,SAM,loss,valence,f,3568
13,SAM,loss,arousal,j,2894
13,SAM,loss,control,d,1549
14,SAM,win,valence,d,6685
14,SAM,win,arousal,d,7065
14,SAM,win,control,j,3358
14,SAM,loss,valence,g,2194
14,SAM,loss,arousal,g,1094
14,SAM,loss,control,g,531
15,SAM,win,valence,f,12309
15,SAM,win,arousal,f,7037
15,SAM,win,control,g,5654
15,SAM,loss,valence,h,2755
15,SAM,loss,arousal,f,2776
15,SAM,loss,control,f,5271
16,SAM,win,valence,d,6385
16,SAM,win,arousal,f,11218
16,SAM,win,control,g,6895
16,SAM,loss,valence,d,2738
16,SAM,loss,arousal,d,1094
16,SAM,loss,control,j,2426
17,SAM,win,valence,FALSE,1371
17,SAM,win,arousal,FALSE,658
17,SAM,win,control,FALSE,429
17,SAM,loss,valence,FALSE,617
17,SAM,loss,arousal,FALSE,230
17,SAM,loss,control,FALSE,277
18,SAM,win,valence,g,9015
18,SAM,win,arousal,g,17741
18,SAM,win,control,g,4877
18,SAM,loss,valence,h,4729
18,SAM,loss,arousal,h,2023
18,SAM,loss,control,f,7473
19,SAM,win,valence,d,9021
19,SAM,win,arousal,f,20001
19,SAM,win,control,j,6206
19,SAM,loss,valence,g,7503
19,SAM,loss,arousal,g,8694
19,SAM,loss,control,f,5312
20,SAM,win,valence,d,17986
20,SAM,win,arousal,d,8472
20,SAM,win,control,f,9533
20,SAM,loss,valence,j,3321
20,SAM,loss,arousal,g,8032
20,SAM,loss,control,f,6898
21,SAM,win,valence,d,10399
21,SAM,win,arousal,f,13375
21,SAM,win,control,g,9222
21,SAM,loss,valence,h,3143
21,SAM,loss,arousal,f,4063
21,SAM,loss,control,f,4439
22,SAM,win,valence,d,13826
22,SAM,win,arousal,g,14304
22,SAM,win,control,h,18776
22,SAM,loss,valence,h,3579
22,SAM,loss,arousal,f,3920
22,SAM,loss,control,f,4165
23,SAM,win,valence,f,20500
23,SAM,win,arousal,f,30667
23,SAM,win,control,h,10474
23,SAM,loss,valence,h,3352
23,SAM,loss,arousal,f,4635
23,SAM,loss,control,f,3326
24,SAM,win,valence,d,14446
24,SAM,win,arousal,g,11537
24,SAM,win,control,h,7409
24,SAM,loss,valence,h,2361
24,SAM,loss,arousal,f,2882
24,SAM,loss,control,h,2223
25,SAM,win,valence,f,5838
25,SAM,win,arousal,f,6619
25,SAM,win,control,f,4852
25,SAM,loss,valence,h,3719
25,SAM,loss,arousal,g,3341
25,SAM,loss,control,f,7848
26,SAM,win,valence,j,4273
26,SAM,win,arousal,d,2922
26,SAM,win,control,j,6427
26,SAM,loss,valence,j,4426
26,SAM,loss,arousal,j,4105
26,SAM,loss,control,j,2691
27,SAM,win,valence,f,13190
27,SAM,win,arousal,f,14691
27,SAM,win,control,g,6724
27,SAM,loss,valence,g,9557
27,SAM,loss,arousal,h,5483
27,SAM,loss,control,g,2531
28,SAM,win,valence,d,7635
28,SAM,win,arousal,g,10167
28,SAM,win,control,h,8198
28,SAM,loss,valence,j,2244
28,SAM,loss,arousal,f,4404
28,SAM,loss,control,f,3456
29,SAM,win,valence,f,13966
29,SAM,win,arousal,h,16820
29,SAM,win,control,g,7113
29,SAM,loss,valence,g,3975
29,SAM,loss,arousal,g,4450
29,SAM,loss,control,g,2978
30,SAM,win,valence,d,18433
30,SAM,win,arousal,f,5257
30,SAM,win,control,h,9178
30,SAM,loss,valence,h,4230
30,SAM,loss,arousal,g,3315
30,SAM,loss,control,f,2247
31,SAM,win,valence,d,5457
31,SAM,win,arousal,g,9027
31,SAM,win,control,h,9595
31,SAM,loss,valence,g,3535
31,SAM,loss,arousal,h,1955
31,SAM,loss,control,f,2060
32,SAM,win,valence,f,18691
32,SAM,win,arousal,g,13049
32,SAM,win,control,g,14131
32,SAM,loss,valence,h,6113
32,SAM,loss,arousal,f,10610
32,SAM,loss,control,g,4463
33,SAM,win,valence,d,7830
33,SAM,win,arousal,f,9574
33,SAM,win,control,h,5722
33,SAM,loss,valence,j,3914
