subjectID,question,answer
10,Block1,644
10,Block2,687
10,Block3,675
10,Block4,649
10,Block5,797
10,Block6,709
11,Block1,647
11,Block2,912
11,Block3,869
11,Block4,635
11,Block5,783
11,Block6,966
12,Block1,914
12,Block2,664
12,Block3,959
12,Block4,811
12,Block5,954
12,Block6,856
13,Block1,694
13,Block2,727
13,Block3,907
13,Block4,806
13,Block5,841
13,Block6,904
14,Block1,734
14,Block2,757
14,Block3,410
14,Block4,428
14,Block5,369
14,Block6,253
15,Block1,560
15,Block2,800
15,Block3,747
15,Block4,840
15,Block5,691
15,Block6,1009
16,Block1,607
16,Block2,656
16,Block3,455
16,Block4,515
16,Block5,578
16,Block6,716
17,Block1,687
17,Block2,832
17,Block3,748
17,Block4,838
17,Block5,792
17,Block6,822
18,Block1,585
18,Block2,863
18,Block3,761
18,Block4,1025
18,Block5,525
18,Block6,782
19,Block1,640
19,Block2,855
19,Block3,735
19,Block4,960
19,Block5,860
19,Block6,832
20,Block1,621
20,Block2,705
20,Block3,705
20,Block4,833
20,Block5,672
20,Block6,672
21,Block1,724
21,Block2,887
21,Block3,1057
21,Block4,975
21,Block5,745
21,Block6,900
22,Block1,673
22,Block2,871
22,Block3,935
22,Block4,806
22,Block5,1014
22,Block6,955
23,Block1,745
23,Block2,848
23,Block3,796
23,Block4,968
23,Block5,956
23,Block6,1089
24,Block1,755
24,Block2,730
24,Block3,910
24,Block4,945
24,Block5,779
24,Block6,995
25,Block1,755
25,Block2,705
25,Block3,790
25,Block4,725
25,Block5,861
25,Block6,814
26,Block1,449
26,Block2,855
26,Block3,802
26,Block4,932
26,Block5,92
26,Block6,424
27,Block1,767
27,Block2,943
27,Block3,863
27,Block4,1040
27,Block5,1117
27,Block6,798
28,Block1,617
28,Block2,788
28,Block3,830
28,Block4,756
28,Block5,986
28,Block6,894
29,Block1,699
29,Block2,787
29,Block3,896
29,Block4,708
29,Block5,964
29,Block6,922
30,Block1,645
30,Block2,864
30,Block3,899
30,Block4,828
30,Block5,1065
30,Block6,924
31,Block1,660
31,Block2,740
31,Block3,745
31,Block4,695
31,Block5,820
31,Block6,845
32,Block1,710
32,Block2,653
32,Block3,724
32,Block4,696
32,Block5,806
32,Block6,784
33,Block1,488
33,Block2,519
33,Block3,818
33,Block4,874
33,Block5,798
33,Block6,875
34,Block1,702
34,Block2,1048
34,Block3,946
34,Block4,764
34,Block5,1026
34,Block6,882
35,Block1,725
35,Block2,700
35,Block3,788
35,Block4,970
35,Block5,926
35,Block6,930
36,Block1,681
36,Block2,709
36,Block3,811
36,Block4,632
36,Block5,1000
36,Block6,854
37,Block1,717
37,Block2,761
37,Block3,780
37,Block4,598
37,Block5,824
37,Block6,704
38,Block1,662
38,Block2,818
38,Block3,975
38,Block4,891
38,Block5,904
38,Block6,950
4,Block1,784
4,Block2,792
4,Block3,882
4,Block4,969
4,Block5,909
4,Block6,946
40,Block1,661
40,Block2,567
40,Block3,800
40,Block4,941
40,Block5,168
40,Block6,195
41,Block1,447
41,Block2,635
41,Block3,648
41,Block4,698
41,Block5,578
41,Block6,754
42,Block1,516
42,Block2,717
42,Block3,752
42,Block4,785
42,Block5,808
42,Block6,849
43,Block1,653
43,Block2,918
43,Block3,741
43,Block4,998
43,Block5,805
43,Block6,875
44,Block1,716
44,Block2,584
44,Block3,908
44,Block4,839
44,Block5,837
44,Block6,925
45,Block1,776
45,Block2,791
45,Block3,825
45,Block4,791
45,Block5,956
45,Block6,974
46,Block1,523
46,Block2,857
46,Block3,660
46,Block4,749
46,Block5,824
46,Block6,752
47,Block1,668
47,Block2,833
47,Block3,859
47,Block4,716
47,Block5,778
47,Block6,998
48,Block1,624
48,Block2,735
48,Block3,770
48,Block4,815
48,Block5,700
48,Block6,650
49,Block1,704
49,Block2,896
49,Block3,827
49,Block4,787
49,Block5,1015
49,Block6,773
5,Block1,782
5,Block2,947
5,Block3,1088
5,Block4,1025
5,Block5,896
5,Block6,905
50,Block1,808
50,Block2,1072
50,Block3,781
50,Block4,894
50,Block5,1000
50,Block6,807
51,Block1,517
51,Block2,774
51,Block3,626
51,Block4,907
51,Block5,741
51,Block6,781
6,Block1,475
6,Block2,760
6,Block3,751
6,Block4,780
6,Block5,823
6,Block6,801
7,Block1,597
7,Block2,762
7,Block3,737
7,Block4,297
7,Block5,614
7,Block6,322
8,Block1,410
8,Block2,801
8,Block3,771
8,Block4,827
8,Block5,815
8,Block6,859
9,Block1,798
9,Block2,785
9,Block3,934
9,Block4,816
9,Block5,887
9,Block6,876
