subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
4,MCQ,1,€54 today,€55 in 117 days,€55 in 117 days,wait,11105,3252880
4,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,4012,3256895
4,MCQ,3,€19 today,€25 in 53 days,€25 in 53 days,wait,4742,3261639
4,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,2718,3264359
4,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,2638,3266998
4,MCQ,6,€47 today,€50 in 160 days,€50 in 160 days,wait,3643,3270643
4,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,2605,3273251
4,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,2231,3275483
4,MCQ,9,€78 today,€80 in 14 days,€80 in 14 days,wait,2930,3278415
4,MCQ,10,€40 today,€55 in 62 days,€55 in 62 days,wait,2286,3280703
4,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,1947,3282651
4,MCQ,12,€67 today,€75 in 119 days,€75 in 119 days,wait,1653,3284306
4,MCQ,13,€34 today,€35 in 186 days,€35 in 186 days,wait,1667,3285975
4,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,1618,3287595
4,MCQ,15,€69 today,€85 in 91 days,€85 in 91 days,wait,1490,3289087
4,MCQ,16,€49 today,€60 in 89 days,€60 in 89 days,wait,1702,3290791
4,MCQ,17,€80 today,€85 in 157 days,€85 in 157 days,wait,1478,3292271
4,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,1606,3293878
4,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,1312,3295192
4,MCQ,20,€28 today,€30 in 179 days,€30 in 179 days,wait,1453,3296647
4,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,1394,3298043
4,MCQ,22,€25 today,€30 in 80 days,€30 in 80 days,wait,1678,3299723
4,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,1226,3300951
4,MCQ,24,€54 today,€60 in 111 days,€60 in 111 days,wait,1791,3302743
4,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,1905,3304651
4,MCQ,26,€22 today,€25 in 136 days,€25 in 136 days,wait,1298,3305951
4,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,1579,3307531
