subjectID,age,gender,nationality,block_number,trial_number,trial_type,guess_outcome,delay_time,delay_pos,immediate_amount,stage,respRT,respKey,blur_count,focus_count,total_points,remaining_duration,time_elapsed
17,18,male,Irish,1,1,guess,win,5,right,6,guess_start,2617,space,0,0,0,477382,275160
17,18,male,Irish,1,1,guess,win,5,right,6,guess_choice,1898,j,0,0,0,475481,277061
17,18,male,Irish,1,1,guess,win,5,right,6,guess_outcome,0,undefined,0,0,20,473929,278613
17,18,male,Irish,1,1,ITC,win,5,right,6,ITC_start,5615,space,0,0,20,468313,284229
17,18,male,Irish,1,1,ITC,win,5,right,6,ITC_choice,3100,j,0,0,20,465211,287331
17,18,male,Irish,1,1,ITC,win,5,right,6,ITC_wait,0,undefined,0,0,20,460208,292334
17,18,male,Irish,1,1,ITC,win,5,right,6,ITC_collect,1506,k,0,0,20,458701,293841
17,18,male,Irish,1,1,ITC,win,5,right,6,ITC_outcome,0,undefined,0,0,40,457698,294844
17,18,male,Irish,1,2,guess,neutral,10,left,8,guess_start,2177,space,0,0,40,455520,297022
17,18,male,Irish,1,2,guess,neutral,10,left,8,guess_choice,1152,f,0,0,40,454366,298176
17,18,male,Irish,1,2,guess,neutral,10,left,8,guess_outcome,0,undefined,0,0,40,452813,299729
17,18,male,Irish,1,2,ITC,neutral,10,left,8,ITC_start,2411,space,0,0,40,450401,302141
17,18,male,Irish,1,2,ITC,neutral,10,left,8,ITC_choice,5199,j,0,0,40,445201,307341
17,18,male,Irish,1,2,ITC,neutral,10,left,8,ITC_wait,0,undefined,0,0,40,445199,307343
17,18,male,Irish,1,2,ITC,neutral,10,left,8,ITC_collect,726,k,0,0,40,444473,308069
17,18,male,Irish,1,2,ITC,neutral,10,left,8,ITC_outcome,0,undefined,0,0,48,443470,309072
17,18,male,Irish,1,3,guess,loss,5,right,11,guess_start,913,space,0,0,48,442556,309986
17,18,male,Irish,1,3,guess,loss,5,right,11,guess_choice,2025,j,0,0,48,440530,312012
17,18,male,Irish,1,3,guess,loss,5,right,11,guess_outcome,0,undefined,0,0,33,438977,313565
17,18,male,Irish,1,3,ITC,loss,5,right,11,ITC_start,854,space,0,0,33,438122,314420
17,18,male,Irish,1,3,ITC,loss,5,right,11,ITC_choice,3139,j,0,0,33,434982,317560
17,18,male,Irish,1,3,ITC,loss,5,right,11,ITC_wait,0,undefined,0,0,33,429980,322562
17,18,male,Irish,1,3,ITC,loss,5,right,11,ITC_collect,1049,k,0,0,33,428930,323612
17,18,male,Irish,1,3,ITC,loss,5,right,11,ITC_outcome,0,undefined,0,0,53,427927,324615
17,18,male,Irish,1,4,guess,loss,5,left,4,guess_start,1043,space,0,0,53,426882,325660
17,18,male,Irish,1,4,guess,loss,5,left,4,guess_choice,1933,f,0,0,53,424947,327595
17,18,male,Irish,1,4,guess,loss,5,left,4,guess_outcome,0,undefined,0,0,38,423395,329147
17,18,male,Irish,1,4,ITC,loss,5,left,4,ITC_start,1752,space,0,0,38,421642,330900
17,18,male,Irish,1,4,ITC,loss,5,left,4,ITC_choice,2092,f,0,0,38,419549,332993
17,18,male,Irish,1,4,ITC,loss,5,left,4,ITC_wait,0,undefined,0,0,38,414546,337996
17,18,male,Irish,1,4,ITC,loss,5,left,4,ITC_collect,415,k,0,0,38,414130,338412
17,18,male,Irish,1,4,ITC,loss,5,left,4,ITC_outcome,0,undefined,0,0,58,413128,339414
17,18,male,Irish,1,5,guess,win,10,right,1,guess_start,566,space,0,0,58,412561,339981
17,18,male,Irish,1,5,guess,win,10,right,1,guess_choice,2998,f,0,0,58,409561,342981
17,18,male,Irish,1,5,guess,win,10,right,1,guess_outcome,0,undefined,0,0,78,408007,344535
17,18,male,Irish,1,5,ITC,win,10,right,1,ITC_start,1106,space,0,0,78,406900,345642
17,18,male,Irish,1,5,ITC,win,10,right,1,ITC_choice,1667,f,0,0,78,405232,347310
17,18,male,Irish,1,5,ITC,win,10,right,1,ITC_wait,0,undefined,0,0,78,405230,347312
17,18,male,Irish,1,5,ITC,win,10,right,1,ITC_collect,499,k,0,0,78,404730,347812
17,18,male,Irish,1,5,ITC,win,10,right,1,ITC_outcome,0,undefined,0,0,79,403727,348815
17,18,male,Irish,1,6,guess,loss,5,right,15,guess_start,818,space,0,0,79,402908,349634
17,18,male,Irish,1,6,guess,loss,5,right,15,guess_choice,724,j,0,0,79,402182,350360
17,18,male,Irish,1,6,guess,loss,5,right,15,guess_outcome,0,undefined,0,0,64,400629,351913
17,18,male,Irish,1,6,ITC,loss,5,right,15,ITC_start,977,space,0,0,64,399652,352890
